sample	contig	coverage
bc2113	contig_3721	5.64855
bc2113	contig_3722	6.63072
bc2113	contig_360	2.88859
bc2113	contig_3723	2.68074
bc2113	contig_361	5.94276
bc2113	contig_74	44.9542
bc2113	contig_3724	5.47375
bc2113	contig_362	2.83218
bc2113	contig_75	7.86285
bc2113	contig_3725	3.29911
bc2113	contig_363	5.11114
bc2113	contig_76	29.1464
bc2113	contig_3726	3.46905
bc2113	contig_364	2.62995
bc2113	contig_77	3.20592
bc2113	contig_3727	3.64769
bc2113	contig_365	4.36956
bc2113	contig_78	4.24363
bc2113	contig_3728	2.64822
bc2113	contig_366	3.14757
bc2113	contig_79	44.9343
bc2113	contig_3729	4.57639
bc2113	contig_367	750.325
bc2113	contig_4590	7.10407
bc2113	contig_4591	5.86933
bc2113	contig_4594	4.64565
bc2113	contig_4596	6.69328
bc2113	contig_4597	4.74404
bc2113	contig_4598	11.9049
bc2113	contig_4599	5.36149
bc2113	contig_2400	2.8298
bc2113	contig_2401	5.88425
bc2113	contig_820	3.59708
bc2113	contig_2402	5.25785
bc2113	contig_821	6.7106
bc2113	contig_2403	5.01522
bc2113	contig_822	6.18989
bc2113	contig_2404	2.47592
bc2113	contig_823	2.75192
bc2113	contig_2405	4.21788
bc2113	contig_824	6.21865
bc2113	contig_2406	4.30452
bc2113	contig_825	3.33811
bc2113	contig_2407	6.95886
bc2113	contig_826	4.10195
bc2113	contig_2408	3.35974
bc2113	contig_827	4.87195
bc2113	contig_2409	3.05295
bc2113	contig_829	6.54146
bc2113	contig_3270	4.75924
bc2113	contig_3271	4.49174
bc2113	contig_3272	2.78715
bc2113	contig_3273	4.52723
bc2113	contig_3274	3.68955
bc2113	contig_3275	4.64109
bc2113	contig_3276	2.63876
bc2113	contig_3277	3.81624
bc2113	contig_3278	9.18047
bc2113	contig_3279	2.99799
bc2113	contig_80	34.9473
bc2113	contig_3730	4.16332
bc2113	contig_81	47.5222
bc2113	contig_3731	2.8751
bc2113	contig_82	4.7593
bc2113	contig_3732	3.43
bc2113	contig_83	13.8238
bc2113	contig_3733	2.63789
bc2113	contig_84	9.12337
